step;tempo;distancia;E;K;U;T;raio;virial
9200;92;876.538;1105.91;1107.88;-196.652;738.588;222.465;2213.8
9300;93;884.998;1105.94;1107.17;-123.535;738.114;224.847;2213.11
9400;94;894.563;1105.93;1107.18;-125.053;73.812;227.23;2213.11
9500;95;904.724;1105.95;1107.82;-187.512;73.855;229.612;2213.77
9600;96;91.437;1105.93;1107.04;-110.263;738.023;231.995;2212.97
9700;97;924.123;1105.9;1108.7;-28.077;739.136;234.377;2214.6
9800;98;932.509;1105.93;1107.09;-11.529;738.058;236.759;2213.02
9900;99;942.876;1105.93;1107.31;-138.427;738.208;239.141;2213.24
10000;100;952.723;1105.94;1107.45;-150.736;738.299;241.523;2213.39
10100;101;962.332;1105.93;1107.05;-112.186;738.036;243.905;2212.99
10200;102;971.825;1105.96;1109.36;-340.561;739.574;246.287;2215.32
10300;103;980.672;1105.93;1107.04;-110.544;738.026;248.669;2212.97
10400;104;991.511;1105.92;1107.55;-16.268;738.366;251.051;2213.47
10500;105;100.103;1105.94;1107.25;-13.081;738.164;253.432;2213.18
10600;106;101.064;1105.93;1107.1;-117.037;738.067;255.814;2213.03
10700;107;101.992;1105.96;1108.32;-236.034;738.882;258.196;2214.29
10800;108;102.981;1105.93;1107.02;-108.451;738.012;260.577;2212.95
10900;109;104.054;1105.91;1108.02;-211.037;738.681;262.959;2213.93
11000;110;104.898;1105.94;1107.13;-119.062;738.084;265.34;2213.06
11100;111;105.797;1105.93;1107.19;-125.994;738.126;267.721;2213.12
11200;112;106.674;1105.95;1107.68;-17.353;738.455;270.103;2213.63
11300;113;107.671;1105.93;1107.02;-108.726;738.013;272.484;2212.95
11400;114;108.684;1105.9;1108.99;-309.335;739.327;274.865;2214.89
11500;115;109.539;1105.93;1107.05;-112.029;738.037;277.246;2212.99
11600;116;110.46;1105.93;1107.34;-141.706;738.229;279.627;2213.27
11700;117;111.395;1105.94;1107.37;-14.273;738.245;282.008;2213.31
11800;118;112.408;1105.93;1107.05;-111.505;738.031;284.389;2212.98
11900;119;113.387;1105.97;1109.12;-314.726;739.412;286.77;2215.09
12000;120;114.246;1105.93;1107.02;-10.818;73.801;289.151;2212.95
12100;121;115.196;1105.92;1107.63;-170.571;738.417;291.531;2213.55
12200;122;116.173;1105.94;1107.19;-125.613;738.129;293.912;2213.13
12300;123;117.175;1105.93;1107.1;-117.414;73.807;296.293;2213.03
12400;124;118.112;1105.96;1108.09;-213.337;738.727;298.674;2214.05
12500;125;118.988;1105.93;1107;-106.847;738.001;301.054;2212.93
12600;126;120.005;1105.91;1108.2;-229.727;738.802;303.435;2214.11
12700;127;120.974;1105.94;1107.09;-115.448;73.806;305.815;2213.03
12800;128;121.964;1105.93;1107.21;-127.912;738.138;308.196;2213.14
12900;129;122.869;1105.94;1107.57;-162.102;738.377;310.576;2213.51
13000;130;123.776;1105.93;1107.01;-107.862;738.007;312.957;2212.94
13100;131;124.855;1105.91;1109.25;-334.086;73.95;315.337;2215.16
13200;132;125.799;1105.93;1107.03;-10.946;738.019;317.717;2212.96
13300;133;126.786;1105.93;1107.39;-146.302;738.259;320.097;2213.31
13400;134;127.675;1105.94;1107.3;-136.061;73.82;322.478;2213.24
13500;135;128.659;1105.93;1107.05;-111.476;738.031;324.858;2212.98
13600;136;129.746;1105.97;1108.8;-283.046;739.201;327.238;2214.77
13700;137;130.613;1105.93;1107;-106.407;737.998;329.618;2212.93
13800;138;131.535;1105.92;1107.73;-180.814;738.484;331.998;2213.64
13900;139;132.363;1105.94;1107.15;-121.274;73.81;334.378;2213.09
14000;140;133.371;1105.93;1107.11;-118.486;738.077;336.758;2213.04
14100;141;134.35;1105.95;1107.9;-194.911;738.601;339.138;2213.85
14200;142;135.246;1105.93;1106.99;-105.773;737.994;341.518;2212.92
14300;143;136.187;1105.9;1108.43;-253.162;738.955;343.898;2214.33
14400;144;137.059;1105.94;1107.06;-112.467;73.804;346.278;2212.99
14500;145;138.109;1105.93;1107.23;-130.694;738.157;348.658;2213.16
14600;146;139.046;1105.94;1107.47;-152.622;738.313;351.037;2213.41
14700;147;139.949;1105.93;1107.01;-107.503;738.005;353.417;2212.94
14800;148;140.894;1105.93;1109.37;-343.935;739.582;355.797;2215.31
14900;149;141.837;1105.93;1107.01;-107.403;738.005;358.177;2212.94
15000;150;142.874;1105.92;1107.45;-152.244;738.297;360.556;2213.37
15100;151;143.775;1105.94;1107.24;-130.426;738.162;362.936;2213.18
15200;152;144.687;1105.93;1107.05;-11.197;738.034;365.316;2212.98
15300;153;145.645;1105.97;1108.5;-253.092;738.999;367.695;2214.47
15400;154;146.641;1105.93;1106.98;-105.079;737.989;370.075;2212.92
15500;155;147.659;1105.91;1107.85;-193.801;738.568;372.454;2213.77
15600;156;148.533;1105.94;1107.11;-117.601;738.075;374.834;2213.05
15700;157;149.465;1105.93;1107.13;-120.169;738.087;377.213;2213.06
15800;158;150.467;1105.95;1107.75;-179.887;738.499;379.592;2213.7
15900;159;151.466;1105.93;1106.98;-105.113;737.989;381.972;2212.92
16000;160;152.472;1105.9;1108.71;-281.063;739.138;384.351;2214.6
16100;161;153.336;1105.93;1107.03;-10.998;738.023;386.731;2212.97
16200;162;154.316;1105.93;1107.27;-134.326;73.818;389.11;2213.2
16300;163;155.358;1105.94;1107.39;-144.664;738.259;391.489;2213.33
16400;164;156.301;1105.93;1107.01;-107.558;738.005;393.868;2212.94
16500;165;157.22;1105.96;1109.28;-332.471;739.522;396.248;2215.24
16600;166;158.038;1105.93;1106.99;-105.751;737.994;398.627;2212.93
16700;167;159.037;1105.92;1107.52;-159.684;738.346;401.006;2213.44
16800;168;159.993;1105.94;1107.19;-125.614;738.129;403.385;2213.13
16900;169;160.925;1105.93;1107.06;-11.292;73.804;405.764;2212.99
17000;170;161.837;1105.96;1108.24;-227.539;738.825;408.144;2214.2
17100;171;162.711;1105.93;1106.97;-10.411;737.983;410.523;2212.91
17200;172;163.779;1105.91;1108.01;-210.113;738.674;412.902;2213.92
17300;173;164.692;1105.94;1107.08;-114.465;738.054;415.281;2213.02
17400;174;165.626;1105.93;1107.15;-122.434;738.102;417.66;2213.08
17500;175;166.523;1105.95;1107.62;-167.526;738.414;420.039;2213.57
17600;176;167.471;1105.93;1106.98;-104.797;737.987;422.418;2212.91
17700;177;168.542;1105.9;1109;-310.672;739.337;424.797;2214.9
17800;178;169.422;1105.93;1107.01;-107.895;738.009;427.176;2212.95
17900;179;170.363;1105.93;1107.31;-138.857;73.821;429.555;2213.24
18000;180;171.26;1105.94;1107.32;-137.914;738.213;431.933;2213.26
18100;181;172.282;1105.93;1107.01;-107.974;738.007;434.312;2212.94
18200;182;173.305;1105.97;1109.03;-305.738;739.352;436.691;2215
18300;183;174.18;1105.93;1106.98;-104.433;737.985;439.07;2212.91
18400;184;175.135;1105.92;1107.61;-168.883;738.406;441.449;2213.53
18500;185;176.065;1105.94;1107.15;-121.475;738.101;443.828;2213.09
18600;186;177.112;1105.93;1107.07;-114.299;738.049;446.206;2213
18700;187;178.086;1105.96;1108.02;-206.523;738.681;448.585;2213.98
18800;188;178.979;1105.93;1106.97;-103.444;737.978;450.964;2212.9
18900;189;179.967;1105.9;1108.21;-230.443;738.806;453.343;2214.11
19000;190;180.956;1105.94;1107.05;-111.775;738.035;455.721;2212.99
19100;191;181.975;1105.93;1107.18;-125.293;738.121;458.1;2213.11
19200;192;182.841;1105.94;1107.52;-157.252;738.344;460.479;2213.46
19300;193;183.697;1105.93;1106.98;-104.783;737.987;462.857;2212.91
19400;194;184.676;1105.91;1109.26;-334.333;739.504;465.236;2215.17
19500;195;185.624;1105.93;1107;-106.148;737.997;467.614;2212.93
19600;196;186.588;1105.92;1107.37;-144.395;738.246;469.993;2213.29
19700;197;187.458;1105.94;1107.26;-132.142;738.174;472.372;2213.2
19800;198;188.359;1105.93;1107.02;-108.725;738.012;474.75;2212.95
19900;199;189.391;1105.97;1108.72;-27.464;739.145;477.129;2214.69
20000;200;190.326;1105.93;1106.97;-103.401;737.978;479.507;2212.9
20100;201;191.287;1105.92;1107.72;-180.225;73.848;481.886;2213.64
20200;202;192.145;1105.94;1107.12;-117.896;738.077;484.264;2213.05
20300;203;193.097;1105.93;1107.09;-116.103;738.061;486.643;2213.02
20400;204;194.138;1105.95;1107.85;-189.375;738.564;489.021;2213.8
20500;205;195.057;1105.93;1106.96;-103.045;737.975;491.399;2212.9
20600;206;196.021;1105.9;1108.45;-255.325;738.969;493.778;2214.35
20700;207;196.878;1105.94;1107.03;-109.464;73.802;496.156;2212.96
20800;208;197.903;1105.93;1107.22;-128.789;738.144;498.535;2213.14
20900;209;198.898;1105.94;1107.43;-148.625;738.286;500.913;2213.37
21000;210;199.813;1105.93;1106.98;-105.046;737.988;503.291;2212.91
21100;211;200.778;1105.94;1109.35;-341.021;739.566;505.67;2215.29
21200;212;201.665;1105.93;1106.98;-104.694;737.987;508.048;2212.92
21300;213;202.743;1105.92;1107.43;-151.105;73.829;510.426;2213.36
21400;214;203.683;1105.94;1107.21;-127.173;73.814;512.805;2213.15
21500;215;204.609;1105.93;1107.03;-1.098;738.019;515.183;2212.96
21600;216;205.573;1105.97;1108.42;-245.872;73.895;517.561;2214.39
21700;217;206.54;1105.93;1106.96;-102.622;737.973;519.939;2212.89
21800;218;207.629;1105.91;1107.86;-194.232;738.571;522.318;2213.77
21900;219;208.462;1105.94;1107.08;-114.791;738.056;524.696;2213.02
22000;220;209.345;1105.93;1107.11;-118.346;738.075;527.074;2213.04
22100;221;210.261;1105.95;1107.7;-175.326;738.468;529.452;2213.65
22200;222;211.241;1105.93;1106.96;-102.891;737.974;531.83;2212.89
22300;223;212.239;1105.9;1108.74;-284.282;739.159;534.209;2214.63
22400;224;213.075;1105.93;1107.01;-107.481;738.006;536.587;2212.94
22500;225;214;1105.93;1107.26;-132.995;738.171;538.965;2213.18
22600;226;214.956;1105.94;1107.35;-141.316;738.236;541.343;2213.29
22700;227;215.951;1105.93;1106.99;-105.573;737.992;543.721;2212.92
22800;228;216.92;1105.96;1109.23;-326.453;739.485;546.099;2215.19
